,code,hwlwmc,spfwfljc,desc
1052,1040109020000000000,网类制品,纺织产品,包括渔网、安全网、体育项目用网（兜）、网料、其他网类制品
1053,1040109030000000000,吊装绳索具,纺织产品,包括吊装绳、安全保险绳、吊带、汽车牵引带、石油管道专用带、其他吊装绳索具。不包括钢丝绳索具（详见108041201）。
1054,1040109040000000000,绳梯类制品,纺织产品,包括尼龙绳梯、其他绳梯类制品。不包括钢丝绳梯（详见108041299）。
1055,1040109990000000000,其他纤维纺制线、绳、索、缆,纺织产品,
1056,1040110000000000000,浸渍、涂布或包覆处理纺织物,纺织产品,包括帘子布、纺织材料制传输带、用塑料处理纺织物、涂胶或淀粉纺织物、涂焦油、蜡、沥青或类似产品纺织物、硬挺纺织物、狭幅机织物
1057,1040110010000000000,帘子布,纺织产品,包括聚酰胺高强力纱制帘子布、聚酯高强力纱制帘子布、粘胶纤维高强力纱制帘子布、其他帘子布
1058,1040110020000000000,纺织材料制传输带,纺织产品,包括棉制传输带、化学纤维制传输带、毛制传输带、其他纺织材料制传输带
1059,1040110030000000000,用塑料处理纺织物,纺织产品,包括聚氯乙烯处理纺织物、聚氨基甲酸酯处理纺织物、其他塑料处理纺织物
1060,1040110040000000000,涂胶或淀粉纺织物,纺织产品,包括涂胶或淀粉棉织物、涂胶或淀粉化纤纺织物、涂胶或淀粉麻织物、其他涂胶或淀粉纺织物
1061,1040110050000000000,涂焦油、蜡、沥青或类似产品纺织物,纺织产品,指经浸渍、涂布或包覆处理的纺织物；包括涂焦油、蜡、沥青，或用天然树脂和樟脑、油或干性油作为基料的制剂涂布或浸渍的织物。包括涂焦油、蜡、沥青绝缘布或带、涂焦油、蜡、沥青舞台用画布、其他材料处理纺织物
1062,1040110060000000000,硬挺纺织物,纺织产品,包括油画布、描图布、硬衬布及类似纺织物、其他硬挺纺织物
1063,1040110070000000000,狭幅机织物,纺织产品,指幅宽不超过30厘米狭条织物（带子及带状织物），从宽幅经纬织物剪成的狭条，或压平宽度不超过30厘米的无缝管筒经纬织物。包括狭幅起绒、绳绒机织物、松紧带、其他狭幅机织物
1064,1040111000000000000,无纺布及其制品,纺织产品,包括无纺布（无纺织物）、无纺织物制品
1065,1040111010000000000,无纺布（无纺织物）,纺织产品,也称非织造布，指以化学纤维为基本原料（主要是涤纶、腈纶、维纶、丙纶、粘胶纤维，也可用棉、毛、麻天然纤维的下脚料或再生纤维以及高科技用的碳素纤维、硼素纤维等）经化学粘合、热熔粘合、针刺、水刺、缝编高频等工艺制作的产品。包括化学纤维长丝制非织造布（无纺织物）、短纤维制非织造布（无纺织物）、其他无纺织物制品
1066,1040111020000000000,无纺织物制品,纺织产品,除无纺布（详见104011101）以外的无纺织物制品。
1067,1040112000000000000,针织、编织物,纺织产品,
1068,1040112010000000000,经编织物,纺织产品,包括棉制经编、织物、合成纤维制经编织物、人造纤维制经编织物、毛制经编织物、丝及绢丝制经编织物、其他经编织物。不包括针织或钩编的起绒织物（详见1040112）、弹性或橡胶线≥5%的针织钩编织物（详见1040112）。
1069,1040112020000000000,纬编制物,纺织产品,包括棉制纬编织物、合成纤维制纬编织物、人造纤维制纬编织物、毛制纬编织物、丝及绢丝制纬编织物、其他纬编织物
1070,1040112030000000000,针织或钩编起绒织物,纺织产品,包括棉针织钩编物、合成纤维针织钩编物、丝针织钩编物
1071,1040112040000000000,针织钩编织物（针织坯布）,纺织产品,包括合成纤维针织钩编物、毛针织钩编织物、人造纤维针织钩编物、丝针织钩编物
1072,1040113000000000000,针织、编织制品,纺织产品,
1073,1040113010000000000,针织或钩编床罩,纺织产品,包括针织床罩、钩编床罩
1074,1040113020000000000,针织或钩编相关床上制品,纺织产品,包括棉针织床上用织物制品、化纤针织床上用织物制品、丝制针织床上用织物制品、麻针织床上用织物制品、其他针织或钩编相关床上制品
